time,seconds_elapsed,z,y,x
1761235829559186400,0.0081865234375,0.0374154970049858,-0.0061086523346602,-0.157603234052658
1761235829577212700,0.026212646484375,0.0529925599694252,-0.0496328026056289,-0.1765400618314743
1761235829595251200,0.044251220703125,-0.0079412478953599,0.0030543261673301,-0.1379028260707855
1761235829613302800,0.062302734375,-0.0554360225796699,0.0647517144680023,-0.0545197241008281
1761235829631345700,0.080345703125,-0.1007927656173706,0.0595593601465225,-0.0433714315295219
1761235829649368000,0.0983681640625,-0.1305724531412124,0.0157297793775796,-0.104763388633728
1761235829660654300,0.109654296875,-0.1762346178293228,-0.0102319931611418,-0.1452332139015197
1761235829678695000,0.12769482421875,-0.1925752758979797,0.0565050356090068,-0.1514945775270462
1761235829696733700,0.145733642578125,-0.1832595765590667,0.1212567538022995,-0.1346957832574844
1761235829714772200,0.163772216796875,-0.167377084493637,0.1395827084779739,-0.1298088580369949
1761235829732811000,0.18181103515625,-0.1252273768186569,0.1279762685298919,-0.0965167060494422
1761235829750835200,0.199835205078125,-0.0891863256692886,0.085062988102436,-0.0282525178045034
1761235829768888800,0.217888916015625,-0.081092357635498,0.0183259565383195,0.0041233403608202
1761235829786925800,0.23592578125,-0.0897971913218498,-0.0383317954838275,-0.0343611687421798
1761235829804966700,0.253966552734375,-0.1101084575057029,-0.0397062413394451,-0.1232420653104782
1761235829823006000,0.272005859375,-0.1495092660188675,0.0041233403608202,-0.1847867369651794
1761235829841044500,0.29004443359375,-0.1481348276138305,0.0578794814646244,-0.2365575730800628
1761235829859083300,0.308083251953125,-0.1266018152236938,0.0401643887162208,-0.2764165103435516
1761235829877122800,0.326122802734375,-0.0818559452891349,-0.0424551330506801,-0.2927571833133697
1761235829895161600,0.34416162109375,-0.0219911485910415,-0.1217148974537849,-0.265573650598526
1761235829913200400,0.362200439453125,0.0262672062963247,-0.0745255574584007,-0.2249511331319809
1761235829931239200,0.3802392578125,0.0416915528476238,-0.0184786729514598,-0.1918116807937622
1761235829949266200,0.39826611328125,0.0311541277915239,0.0317649915814399,-0.166460782289505
1761235829967316700,0.416316650390625,-0.0067195175215601,0.0410806871950626,-0.1441642045974731
1761235829985356000,0.43435595703125,-0.0387899428606033,0.079259768128395,-0.1006400510668754
1761235830003394600,0.45239453125,-0.0366519130766391,0.1177442744374275,-0.0589484944939613
1761235830021433900,0.470433837890625,-0.0174096599221229,0.0997237488627433,-0.034972034394741
1761235830039472000,0.48847216796875,-0.0137444678694009,0.0639881342649459,-0.00167987938039
1761235830057512000,0.506511962890625,0.0042760567739605,0.0849102661013603,0.0627664029598236
1761235830075550700,0.52455078125,0.0293215326964855,0.0777326002717018,0.0794124826788902
1761235830093589800,0.54258984375,0.0511599630117416,0.0517708286643028,0.0280998013913631
1761235830111628300,0.560628173828125,0.0855211317539215,0.0606283769011497,-0.00137444678694
1761235830129667300,0.578667236328125,0.1137736514210701,0.0975857228040695,0.0108428578823804
1761235830147706400,0.596706298828125,0.1356120854616165,0.1072068512439727,0.0444404482841491
1761235830165746000,0.614745849609375,0.1536326110363006,0.0766635909676551,0.1153008118271827
1761235830183782000,0.632781982421875,0.1464549452066421,0.0158824957907199,0.2180788964033126
1761235830201824500,0.650824462890625,0.1398881375789642,0.0100792767480015,0.2955060601234436
1761235830219861800,0.66886181640625,0.128434419631958,0.0290160998702049,0.3228422701358795
1761235830237900500,0.686900634765625,0.1368338167667389,0.042302418500185,0.3075706362724304
1761235830255929600,0.7049296875,0.1757764816284179,0.0226020142436027,0.2945897579193115
1761235830273974000,0.72297412109375,0.2180788964033126,0.0001527163112768,0.3135266005992889
1761235830292017700,0.741017578125,0.2490803003311157,-0.0222965814173221,0.3681990206241607
1761235830310056400,0.759056396484375,0.2895501255989074,0.0499382354319095,0.4587597846984863
1761235830328095200,0.77709521484375,0.3266601860523224,0.2706133127212524,0.5271766781806946
1761235830346134000,0.795134033203125,0.309708684682846,0.3636175394058227,0.3683517575263977
1761235830364173600,0.813173583984375,0.2391537427902221,0.2255619913339615,-0.0476474873721599
1761235830382212400,0.83121240234375,0.0369573459029197,-0.1414152979850769,-0.5474879741668701
1761235830400251000,0.8492509765625,-0.2472477108240127,-0.3813326358795166,-0.8568912148475647
1761235830418289700,0.86728955078125,-0.3833179473876953,-0.3116939961910248,-0.7812966704368591
1761235830436329000,0.885328857421875,-0.3539963960647583,-0.1211040318012237,-0.3633120954036712
1761235830454370300,0.903370361328125,-0.2008219510316848,0.0345138870179653,0.2015855312347412
1761235830472406800,0.92140673828125,-0.0456621758639812,0.2142609804868698,0.551916778087616
1761235830490445600,0.939445556640625,0.0789543315768241,0.2603813111782074,0.5363397002220154
1761235830508484400,0.957484375,0.1502728462219238,0.0155770638957619,0.4280638098716736
1761235830526523100,0.975523193359375,0.1417207419872284,-0.2538145184516907,0.512210488319397
1761235830544562400,0.9935625,0.0809396430850029,-0.3158173263072967,0.6475171446800232
1761235830562601500,1.0116015625,0.0177150927484035,-0.2467895597219467,0.5114469528198242
1761235830580640300,1.02964013671875,-0.0685696229338646,-0.1273654103279113,0.0740674138069152
1761235830598679000,1.047678955078125,-0.1550070494413375,-0.0123700210824608,-0.3497203588485718
1761235830623393300,1.072393310546875,-0.2368630021810531,0.0010690141934901,-0.8445212244987488
1761235830641521200,1.090521240234375,-0.1994474977254867,-0.0948368310928344,-0.9239336848258972
1761235830659559000,1.108558837890625,-0.105221539735794,-0.2197587788105011,-0.7379252314567566
1761235830677599500,1.126599609375,0.0030543261673301,-0.2587014436721802,-0.4167627990245819
1761235830695637500,1.144637451171875,0.0746782794594764,-0.1189660057425499,-0.1811215430498123
1761235830713676800,1.1626767578125,0.1090394482016563,0.0665843114256858,-0.1684460937976837
1761235830731713800,1.1807138671875,0.1108720451593399,0.1652390509843826,-0.3081815242767334
1761235830749756000,1.198755859375,0.0862847194075584,0.1941024363040924,-0.4031710624694824
1761235830767793200,1.216793212890625,0.0710130855441093,0.0794124826788902,-0.395535260438919
1761235830785829000,1.2348291015625,0.0804814994335174,-0.1348485052585601,-0.2866485118865967
1761235830803873800,1.252873779296875,0.111482910811901,-0.3112358450889587,-0.1547016203403473
1761235830821910300,1.27091015625,0.1131627857685089,-0.3959933817386627,-0.0945313945412635
1761235830839953700,1.28895361328125,0.0685696229338646,-0.3633120954036712,-0.1766927689313888
1761235830857976600,1.3069765625,0.0061086523346602,-0.3882048726081848,-0.3346014320850372
1761235830876026400,1.3250263671875,-0.0711658000946044,-0.3546072840690613,-0.3914119005203247
1761235830894066400,1.34306640625,-0.1537853181362152,-0.30925053358078,-0.361174076795578
1761235830912104400,1.3611044921875,-0.2083050459623336,-0.270766019821167,-0.2869539558887481
