time,seconds_elapsed,z,y,x
1761237200938846000,0.111845947265625,-4.991420745849609,-2.0741076469421387,0.2461585998535156
1761237200957028400,0.1300283203125,-5.984493732452393,-2.4380202293396,0.3235281109809875
1761237200975064800,0.14806494140625,-6.597612380981445,-1.814697504043579,0.7337644100189209
1761237200993102800,0.166102783203125,-7.268034934997559,-2.2913055419921875,0.1076895222067833
1761237201011140400,0.184140380859375,-3.3276758193969727,-1.1236823797225952,-0.5018503069877625
1761237201029178000,0.20217822265625,-1.4606428146362305,0.1264727115631103,0.8976754546165466
1761237201047215600,0.220215576171875,-0.6512203216552734,-0.6478526592254639,3.1685056686401367
1761237201065254100,0.238254150390625,-0.1409635543823242,-2.474149227142334,1.9405608177185056
1761237201083291400,0.25629150390625,-0.1294422149658203,-2.183429479598999,1.6382312774658203
1761237201101329400,0.274329345703125,-1.7815818786621094,-0.9583091735839844,0.547836422920227
1761237201119366400,0.292366455078125,3.7446603775024414,0.7573742866516113,-1.3977863788604736
1761237201137405200,0.3104052734375,18.281753540039062,-0.316676378250122,-0.3761021494865417
1761237201155442700,0.328442626953125,26.965442657470703,-0.3054471015930176,2.575404167175293
1761237201173480000,0.34647998046875,26.25166130065918,2.268352508544922,5.372782230377197
1761237201191518200,0.364518310546875,22.643903732299805,5.231003284454346,7.224815845489502
1761237201209556200,0.38255615234375,16.59112548828125,7.496611595153809,5.834380626678467
1761237201227593000,0.400593017578125,10.339731216430664,8.407108306884766,4.303847312927246
1761237201245631500,0.418631591796875,5.542281150817871,9.08273696899414,1.5664840936660769
1761237201263668700,0.436668701171875,4.607445240020752,8.540033340454102,-2.845188856124878
1761237201281706500,0.45470654296875,3.419250965118408,5.311036109924316,-1.803751230239868
1761237201299744500,0.47274462890625,0.8916549682617188,2.7005615234375,-0.5220462679862976
1761237201317782000,0.490781982421875,-2.0246710777282715,0.4654641151428222,1.3770925998687744
1761237201335819800,0.50881982421875,-4.956978797912598,-2.289069652557373,3.1564536094665527
1761237201353854500,0.5268544921875,-5.445963382720947,-5.727049827575684,1.78052818775177
1761237201371895300,0.544895263671875,-4.792243003845215,-7.502870082855225,-0.8661392331123352
1761237201389932800,0.562932861328125,-5.134073734283447,-8.150890350341797,-2.3240694999694824
1761237201407970800,0.580970703125,-6.144751071929932,-7.573742866516113,-1.989474296569824
1761237201426008600,0.599008544921875,-7.430083274841309,-7.5762939453125,-1.350737452507019
1761237201444047600,0.617047607421875,-9.031765937805176,-7.36646556854248,-0.8671767711639404
1761237201462085000,0.635085205078125,-11.070910453796388,-7.401290893554687,-0.2071396708488464
1761237201480123100,0.653123046875,-13.066235542297363,-7.538491725921631,-0.3887974321842193
1761237201498160400,0.671160400390625,-14.338329315185549,-7.858622074127197,-0.6989791393280029
1761237201516194600,0.689194580078125,-13.505598068237305,-8.385427474975586,-1.0463452339172363
1761237201534236200,0.707236083984375,-10.188005447387695,-8.741806030273438,-1.797583818435669
1761237201552274400,0.7252744140625,-7.099942207336426,-8.946372985839844,-2.0386905670166016
1761237201570311700,0.743311767578125,-3.658289909362793,-8.03958511352539,-1.8318387269973757
1761237201588349400,0.761349365234375,-0.7994823455810547,-6.4459428787231445,-0.9717894792556764
1761237201606387700,0.7793876953125,-1.0808167457580566,-5.285322666168213,0.3198243379592895
1761237201624425200,0.79742529296875,-0.6675853729248047,-4.147942543029785,0.1068813800811767
1761237201642462700,0.815462646484375,-0.3688764572143554,-3.3816022872924805,0.006610631942749
1761237201660501000,0.8335009765625,0.239410400390625,-2.653110980987549,0.9498000144958496
1761237201678538500,0.85153857421875,0.2870216369628906,-2.203578472137451,1.4410815238952637
1761237201696576300,0.869576171875,-1.1274514198303225,-1.753556251525879,0.77146315574646
1761237201714613200,0.88761328125,-4.000570774078369,-1.1364197731018066,0.0621869564056396
1761237201732651800,0.90565185546875,-6.665435314178467,-1.0927472114562988,-0.957791805267334
1761237201750678000,0.923677978515625,-7.867813110351562,-1.5991582870483398,-1.7725790739059448
1761237201768727600,0.9417275390625,-8.178985595703125,-2.1268672943115234,-2.249496936798096
1761237201786764800,0.959764892578125,-7.63712215423584,-1.6819941997528076,-1.6725687980651855
1761237201804802600,0.977802490234375,-6.734710216522217,-0.6264839172363281,-2.0295839309692383
1761237201822840000,0.995840087890625,-6.3002214431762695,0.8426909446716309,-3.791369199752808
1761237201840875500,1.01387548828125,-5.148306846618652,2.0528955459594727,-5.871593475341797
1761237201858918700,1.031918701171875,0.5457963943481445,5.183999061584473,-7.078897953033447
1761237201876953600,1.04995361328125,8.034419059753418,6.401716232299805,-5.004081726074219
1761237201894990800,1.067990966796875,10.932549476623535,7.891035079956055,-2.6905946731567383
1761237201913022500,1.0860224609375,5.671904563903809,9.69312858581543,0.4263995885848999
1761237201931066600,1.104066650390625,9.055455207824709,11.821990966796877,2.6967506408691406
1761237201949090300,1.12209033203125,23.19890022277832,9.46527862548828,1.868568062782288
1761237201967135500,1.140135498046875,34.07562255859375,5.468406677246094,1.1466093063354492
1761237201985183700,1.158183837890625,34.74732971191406,4.089997291564941,3.3681788444519043
1761237202003217400,1.176217529296875,32.00825119018555,5.396838188171387,10.73737335205078
1761237202021255400,1.19425537109375,25.763259887695312,5.558170795440674,12.831892013549805
1761237202039293400,1.21229345703125,15.15219783782959,5.747854232788086,10.032552719116213
1761237202057331500,1.23033154296875,6.928318977355957,6.48072624206543,7.2284932136535645
1761237202075368400,1.248368408203125,3.896672248840332,6.122732639312744,4.300885677337647
1761237202093406700,1.26640673828125,3.446585178375244,4.627192497253418,0.8476600646972656
